RecordId,DateTime,Site,ButterflyCount,Lat,Lon,WalkStage,Weekday
2414,2017-01-29 12:39:00, Womens Peace Gardens,0,-37.7913,144.9235,1_2_1,Sunday
2415,2017-01-29 12:36:00, Womens Peace Gardens,0,-37.7912,144.9235,1_2_1,Sunday
2416,2017-01-29 11:07:00, Womens Peace Gardens,0,-37.7913,144.9241,1_2_1,Sunday
2417,2017-01-29 10:51:00, Womens Peace Gardens,0,-37.7913,144.924,1_2_1,Sunday
2418,2017-01-29 10:18:00, Womens Peace Gardens,0,-37.7913,144.924,1_2_1,Sunday
2419,2017-02-26 11:10:00, Womens Peace Gardens,0,-37.7913,144.9242,1_2_1,Sunday
2420,2017-02-26 11:13:00, Womens Peace Gardens,0,-37.7913,144.9242,1_2_1,Sunday
2421,2017-01-29 12:15:00, Womens Peace Gardens,0,-37.7912,144.9235,1_2_1,Sunday
2422,2017-02-26 10:54:00, Womens Peace Gardens,0,-37.7913,144.924,1_2_1,Sunday
2423,2017-01-29 11:57:00, Womens Peace Gardens,0,-37.7911,144.9241,1_2_1,Sunday
2424,2017-01-29 10:34:00, Womens Peace Gardens,0,-37.791,144.9239,1_2_1,Sunday
2425,2017-01-29 11:31:00, Womens Peace Gardens,0,-37.7911,144.9244,1_2_1,Sunday
2426,2017-02-26 10:41:00, Womens Peace Gardens,0,-37.7913,144.924,1_2_1,Sunday
2427,2017-02-26 13:47:00, Womens Peace Gardens,0,-37.791,144.9237,1_2_1,Sunday
2428,2017-01-29 12:18:00, Womens Peace Gardens,0,-37.7912,144.9235,1_2_1,Sunday
2429,2017-02-06 16:04:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9808,1_3_1,Monday
2430,2017-03-09 10:21:00, Fitzroy-Treasury Gardens,0,-37.8143,144.9814,1_3_1,Thursday
2431,2017-03-11 10:49:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9764,1_3_1,Saturday
2432,2017-03-09 12:17:00, Fitzroy-Treasury Gardens,0,-37.814,144.9813,1_3_1,Thursday
2433,2017-02-06 16:25:00, Fitzroy-Treasury Gardens,0,-37.8141,144.9817,1_3_1,Monday
2434,2017-02-06 15:48:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9812,1_3_1,Monday
2435,2017-02-06 16:22:00, Fitzroy-Treasury Gardens,0,-37.8141,144.9817,1_3_1,Monday
2436,2017-03-09 11:54:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9814,1_3_1,Thursday
2437,2017-02-01 15:12:00, Fitzroy-Treasury Gardens,0,-37.8146,144.9792,1_3_1,Wednesday
2438,2017-03-09 12:12:00, Fitzroy-Treasury Gardens,0,-37.814,144.9813,1_3_1,Thursday
2439,2017-02-03 15:44:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9818,1_3_1,Friday
2440,2017-03-09 11:13:00, Fitzroy-Treasury Gardens,0,-37.8139,144.981,1_3_1,Thursday
2441,2017-02-03 15:25:00, Fitzroy-Treasury Gardens,0,-37.814,144.9812,1_3_1,Friday
2442,2017-02-06 15:51:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9812,1_3_1,Monday
2443,2017-02-06 16:40:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9815,1_3_1,Monday
2444,2017-02-03 14:58:00, Fitzroy-Treasury Gardens,0,-37.814,144.9815,1_3_1,Friday
2445,2017-03-09 11:48:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9813,1_3_1,Thursday
2446,2017-02-06 16:07:00, Fitzroy-Treasury Gardens,0,-37.8138,144.9813,1_3_1,Monday
2447,2017-02-03 14:18:00, Fitzroy-Treasury Gardens,0,-37.814,144.9815,1_3_1,Friday
2448,2017-03-09 11:51:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9813,1_3_1,Thursday
2449,2017-03-09 11:31:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9812,1_3_1,Thursday
2450,2017-03-09 11:28:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9812,1_3_1,Thursday
2451,2017-02-06 16:51:00, Fitzroy-Treasury Gardens,0,-37.814,144.9815,1_3_1,Monday
2452,2017-02-03 15:40:00, Fitzroy-Treasury Gardens,0,-37.8139,144.9811,1_3_1,Friday
2453,2017-02-03 14:13:00, Fitzroy-Treasury Gardens,0,-37.814,144.9813,1_3_1,Friday
2454,2017-01-19 15:32:00, Royal Park,0,-37.7948,144.9529,1_3_1,Thursday
2455,2017-02-23 13:28:00, Royal Park,0,-37.7955,144.9519,1_3_1,Thursday
2456,2017-02-23 13:26:00, Royal Park,0,-37.7954,144.9518,1_3_1,Thursday
2457,2017-01-19 15:19:00, Royal Park,0,-37.7949,144.9528,1_3_1,Thursday
2458,2017-01-19 14:46:00, Royal Park,0,-37.7949,144.9528,1_3_1,Thursday
2459,2017-02-23 14:20:00, Royal Park,0,-37.7958,144.9518,1_3_1,Thursday
2460,2017-02-23 14:43:00, Royal Park,0,-37.796,144.9514,1_3_1,Thursday
2461,2017-02-23 13:08:00, Royal Park,0,-37.7955,144.9517,1_3_1,Thursday
2462,2017-02-23 11:18:00, Royal Park,0,-37.7951,144.9519,1_3_1,Thursday
2463,2017-02-23 13:11:00, Royal Park,0,-37.7954,144.9518,1_3_1,Thursday
2464,2017-02-23 12:26:00, Royal Park,0,-37.7959,144.9509,1_3_1,Thursday
2465,2017-02-23 14:05:00, Royal Park,0,-37.7955,144.9517,1_3_1,Thursday
2466,2017-02-23 11:45:00, Royal Park,0,-37.7953,144.9518,1_3_1,Thursday
2467,2017-02-23 14:34:00, Royal Park,0,-37.7959,144.9514,1_3_1,Thursday
2468,2017-01-19 16:06:00, Royal Park,0,-37.7952,144.9527,1_3_1,Thursday
2469,2017-02-23 11:01:00, Royal Park,0,-37.7951,144.9521,1_3_1,Thursday
2470,2017-02-23 11:03:00, Royal Park,0,-37.7951,144.9521,1_3_1,Thursday
2471,2017-01-19 15:48:00, Royal Park,0,-37.7949,144.9532,1_3_1,Thursday
2472,2017-02-23 10:57:00, Royal Park,0,-37.7957,144.9505,1_3_1,Thursday
2473,2017-02-23 11:31:00, Royal Park,0,-37.795,144.9521,1_3_1,Thursday
2474,2017-01-19 16:09:00, Royal Park,0,-37.7952,144.9527,1_3_1,Thursday
2475,2017-02-04 10:35:00, Westgate Park,0,-37.8323,144.907,1_3_1,Saturday
2476,2017-02-04 10:15:00, Westgate Park,0,-37.8323,144.9072,1_3_1,Saturday
2477,2017-02-04 10:30:00, Westgate Park,0,-37.8323,144.907,1_3_1,Saturday
2478,2017-02-04 09:58:00, Westgate Park,0,-37.8322,144.9072,1_3_1,Saturday
2479,2017-03-07 17:03:00, Westgate Park,0,-37.8319,144.9074,1_3_1,Tuesday
2480,2017-03-07 17:08:00, Westgate Park,0,-37.832,144.9077,1_3_1,Tuesday
2481,2017-02-04 10:37:00, Westgate Park,0,-37.8323,144.907,1_3_1,Saturday
2482,2017-03-07 17:31:00, Westgate Park,0,-37.8318,144.9084,1_3_1,Tuesday
2483,2017-03-07 16:26:00, Westgate Park,0,-37.8317,144.907,1_3_1,Tuesday
2484,2017-02-09 15:54:00, Fitzroy-Treasury Gardens,0,-37.8121,144.9798,1_4_1,Thursday
2485,2017-03-08 10:52:00, Fitzroy-Treasury Gardens,0,-37.8107,144.9806,1_4_1,Wednesday
2486,2017-02-09 15:40:00, Fitzroy-Treasury Gardens,0,-37.812,144.98,1_4_1,Thursday
